id,product_id,user_name,ssi_type,body_level,aroma_level,comment,rating_image,user_id,created_at,total_score,taste_score,aroma_score,image_accuracy_score,rating_image_2
18,8,hitoshi,爽酒,淡麗辛口,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-19T01:37:33.986269,4.0,5.0,,1.0,
19,8,hitoshi,爽酒,濃醇,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/天領盃酒造株式会社/id_008_U Tashiro_front.jpeg,dummy_sns_source,2026-06-06T22:37:33.986293,4.0,,,1.0,
20,9,hitoshi,爽酒,淡麗辛口,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/宮坂醸造株式会社/id_009_Miyasaka_Miyama_front.jpeg,dummy_sns_source,2026-06-08T00:37:33.986312,5.0,,,1.0,
21,10,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/末廣酒造株式会社/id_010_Suehiro_Yamahai_front.jpeg,dummy_sns_source,2026-06-19T20:37:33.986330,5.0,5.0,4.0,1.0,
22,10,hitoshi,爽酒,中間,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/末廣酒造株式会社/id_010_Suehiro_Yamahai_front.jpeg,dummy_sns_source,2026-06-06T16:37:33.986344,5.0,3.5,3.5,1.0,
23,11,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/株式会社小嶋総本店/id_011_Toko_Genshu_front.jpeg,dummy_sns_source,2026-06-21T18:37:33.986361,4.0,3.0,4.5,1.0,
24,11,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/株式会社小嶋総本店/id_011_Toko_Genshu_front.jpeg,dummy_sns_source,2026-07-05T02:37:33.986376,3.5,3.0,4.5,1.0,
25,12,hitoshi,爽酒,濃醇,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/合資会社高橋庄作商店/id_012_Akinota_Ginjyo_front.jpeg,dummy_sns_source,2026-06-20T01:37:33.986392,4.0,4.0,4.0,1.0,
26,13,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/株式会社山和酒造店/id_013_Yamawa_Tokubetsu_front.jpeg,dummy_sns_source,2026-06-21T11:37:33.986409,3.5,4.0,,1.0,
27,13,hitoshi,爽酒,中間,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/株式会社山和酒造店/id_013_Yamawa_Tokubetsu_front.jpeg,dummy_sns_source,2026-07-17T02:37:33.986429,4.0,4.0,3.5,1.0,
28,14,hitoshi,爽酒,淡麗辛口,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/株式会社一ノ蔵/id_014_Ichinokura_Hogin_front.jpeg,dummy_sns_source,2026-06-27T03:37:33.986446,4.0,5.0,3.0,1.0,
29,14,hitoshi,爽酒,濃醇,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/株式会社一ノ蔵/id_014_Ichinokura_Hogin_front.jpeg,dummy_sns_source,2026-06-27T03:37:33.986459,5.0,3.0,4.5,1.0,
30,15,hitoshi,爽酒,濃醇,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/合名会社川敬商店/id_015_Koganesawa_Iroha_front.jpeg,dummy_sns_source,2026-07-05T17:37:33.986477,5.0,3.0,4.0,1.0,
31,15,hitoshi,爽酒,淡麗辛口,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/合名会社川敬商店/id_015_Koganesawa_Iroha_front.jpeg,dummy_sns_source,2026-06-07T23:37:33.986490,5.0,,,1.0,
32,7715,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/宮坂醸造株式会社/id_016_Masumi_Yusuijikomi_front.jpeg,dummy_sns_source,2026-07-07T11:37:33.986506,5.0,5.0,,1.0,
33,17,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/利守酒造株式会社/id_017_Toshimori_Akaiwa_Omachi_front.jpeg,dummy_sns_source,2026-06-19T09:37:33.986522,5.0,,3.5,1.0,
34,17,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/利守酒造株式会社/id_017_Toshimori_Akaiwa_Omachi_front.jpeg,dummy_sns_source,2026-06-12T08:37:33.986536,4.0,4.5,3.5,1.0,
35,18,hitoshi,爽酒,中間,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/株式会社土井酒造場/id_018_Kaiun_Ginjyo_front.jpeg,dummy_sns_source,2026-07-10T06:37:33.986553,3.5,4.5,4.5,1.0,
36,19,hitoshi,爽酒,濃醇,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-27T01:37:33.986571,3.5,3.5,,1.0,
37,19,hitoshi,爽酒,中間,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/下関酒造株式会社/id_019_Sekimusume_Yamahai_front.jpeg,dummy_sns_source,2026-06-16T10:37:33.986585,4.5,5.0,3.0,1.0,
38,20,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/高の井酒造株式会社/id_020_Koshi_no_Hatsume_front.jpeg,dummy_sns_source,2026-07-14T14:37:33.986601,4.5,,3.5,1.0,
39,21,hitoshi,爽酒,中間,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/池亀酒造株式会社/id_021_Ikekame_front.jpeg,dummy_sns_source,2026-07-08T18:37:33.986620,4.5,3.5,5.0,1.0,
40,21,hitoshi,爽酒,濃醇,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/池亀酒造株式会社/id_021_Ikekame_front.jpeg,dummy_sns_source,2026-06-22T13:37:33.986634,3.5,5.0,,1.0,
41,9974,hitoshi,爽酒,濃醇,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/松崎酒造株式会社/id_022_Hirotogawa_front.jpeg,dummy_sns_source,2026-07-13T13:37:33.986653,5.0,4.0,3.5,1.0,
42,23,hitoshi,爽酒,濃醇,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/株式会社神沢川酒造場/id_023_Shosetsu_front.jpeg,dummy_sns_source,2026-07-15T19:37:33.986670,4.0,3.0,4.5,1.0,
43,23,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/株式会社神沢川酒造場/id_023_Shosetsu_front.jpeg,dummy_sns_source,2026-07-04T14:37:33.986684,5.0,4.0,3.5,1.0,
44,24,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-07T13:37:33.986700,5.0,4.5,4.5,1.0,
45,24,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/阿部酒造/id_024_Abe_Blue_front.jpeg,dummy_sns_source,2026-06-13T05:37:33.986714,3.5,4.0,4.5,1.0,
46,25,hitoshi,爽酒,中間,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/阿部酒造/id_025_Abe_Regulus_2025_front.jpeg,dummy_sns_source,2026-06-20T03:37:33.986732,5.0,4.5,3.0,1.0,
47,26,hitoshi,爽酒,中間,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/阿部酒造/id_026_Abe_Regulus_2024_front.jpeg,dummy_sns_source,2026-07-02T15:37:33.986748,5.0,4.0,,1.0,
48,27,hitoshi,爽酒,淡麗辛口,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/阿部酒造/id_027_Abe_Regulus_2023_front.jpeg,dummy_sns_source,2026-07-05T13:37:33.986766,4.0,5.0,,1.0,
49,27,hitoshi,爽酒,濃醇,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,/cropped_images/阿部酒造/id_027_Abe_Regulus_2023_front.jpeg,dummy_sns_source,2026-07-04T09:37:33.986783,4.5,4.0,3.5,1.0,
50,28,hitoshi,爽酒,中間,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/株式会社赤武酒造/id_028_Hamamusume_Seimoto_front.jpeg,dummy_sns_source,2026-07-03T00:37:33.986799,4.5,4.0,3.0,1.0,
51,29,hitoshi,爽酒,淡麗辛口,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,/cropped_images/今西酒造株式会社/id_029_Mimuro_Sugi_Minna_no_Saganou_front.jpeg,dummy_sns_source,2026-06-12T15:37:33.986816,3.5,3.5,3.5,1.0,
52,7601,hitoshi,爽酒,淡麗辛口,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-19T10:37:33.986842,3.5,5.0,5.0,1.0,
53,10593,hitoshi,薫酒,淡麗辛口,しっかり個性的,洋梨のようなフレッシュなアロマが最高。日本酒特有のツンとするアルコール感がなく、すっきり綺麗に飲めるので女性にも超おすすめです。,,dummy_sns_source,2026-07-02T21:37:33.986859,5.0,4.5,3.0,1.0,
54,10593,hitoshi,薫酒,濃醇,華やかフルーティ,香りがとにかく華やかでフルーティ！一口飲むだけで甘酸っぱくてジューシーな旨味が口いっぱいに広がります。冷やしてワイングラスで飲むのがお気に入りです！,,dummy_sns_source,2026-06-30T10:37:33.986875,4.0,5.0,,1.0,
55,32,hitoshi,薫酒,濃醇,華やかフルーティ,洋梨のようなフレッシュなアロマが最高。日本酒特有のツンとするアルコール感がなく、すっきり綺麗に飲めるので女性にも超おすすめです。,,dummy_sns_source,2026-07-07T23:37:33.986894,4.0,5.0,5.0,1.0,
56,33,hitoshi,薫酒,淡麗辛口,すっきりおだやか,洋梨のようなフレッシュなアロマが最高。日本酒特有のツンとするアルコール感がなく、すっきり綺麗に飲めるので女性にも超おすすめです。,,dummy_sns_source,2026-06-19T18:37:33.986912,4.5,4.0,3.5,1.0,
57,33,hitoshi,薫酒,淡麗辛口,すっきりおだやか,香りがとにかく華やかでフルーティ！一口飲むだけで甘酸っぱくてジューシーな旨味が口いっぱいに広がります。冷やしてワイングラスで飲むのがお気に入りです！,,dummy_sns_source,2026-06-11T09:37:33.986926,4.5,5.0,,1.0,
58,34,hitoshi,爽酒,中間,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-07-17T13:37:33.986943,5.0,3.0,3.5,1.0,
59,35,hitoshi,薫酒,濃醇,華やかフルーティ,洋梨のようなフレッシュなアロマが最高。日本酒特有のツンとするアルコール感がなく、すっきり綺麗に飲めるので女性にも超おすすめです。,,dummy_sns_source,2026-07-05T10:37:33.986960,4.5,3.5,4.5,1.0,
60,5533,hitoshi,醇酒,中間,しっかり個性的,しっかりとした飲みごたえがあり、焼き鳥や煮物といった醤油系の濃い味のお料理と合わせると最高のマリアージュを楽しめます。,,dummy_sns_source,2026-06-22T05:37:33.986976,4.5,,3.0,1.0,
61,37,hitoshi,薫酒,中間,しっかり個性的,香りがとにかく華やかでフルーティ！一口飲むだけで甘酸っぱくてジューシーな旨味が口いっぱいに広がります。冷やしてワイングラスで飲むのがお気に入りです！,,dummy_sns_source,2026-06-07T04:37:33.986994,4.0,,3.5,1.0,
62,37,hitoshi,薫酒,濃醇,華やかフルーティ,香りがとにかく華やかでフルーティ！一口飲むだけで甘酸っぱくてジューシーな旨味が口いっぱいに広がります。冷やしてワイングラスで飲むのがお気に入りです！,,dummy_sns_source,2026-06-07T19:37:33.987008,4.0,3.0,,1.0,
63,38,hitoshi,醇酒,淡麗辛口,すっきりおだやか,お米の豊かなコクとふくよかな旨味がしっかり主張してきます。常温や少し温めのぬる燗にすると旨味がさらに開いて美味しいです！,,dummy_sns_source,2026-06-18T09:37:33.987025,5.0,4.0,4.5,1.0,
64,39,hitoshi,薫酒,中間,華やかフルーティ,香りがとにかく華やかでフルーティ！一口飲むだけで甘酸っぱくてジューシーな旨味が口いっぱいに広がります。冷やしてワイングラスで飲むのがお気に入りです！,,dummy_sns_source,2026-06-05T19:37:33.987042,4.5,4.5,,1.0,
65,39,hitoshi,薫酒,中間,華やかフルーティ,香りがとにかく華やかでフルーティ！一口飲むだけで甘酸っぱくてジューシーな旨味が口いっぱいに広がります。冷やしてワイングラスで飲むのがお気に入りです！,,dummy_sns_source,2026-06-30T10:37:33.987056,4.0,3.5,3.5,1.0,
66,40,hitoshi,醇酒,淡麗辛口,華やかフルーティ,お米の豊かなコクとふくよかな旨味がしっかり主張してきます。常温や少し温めのぬる燗にすると旨味がさらに開いて美味しいです！,,dummy_sns_source,2026-06-04T21:37:33.987073,5.0,3.5,5.0,1.0,
67,41,hitoshi,醇酒,濃醇,すっきりおだやか,お米の豊かなコクとふくよかな旨味がしっかり主張してきます。常温や少し温めのぬる燗にすると旨味がさらに開いて美味しいです！,,dummy_sns_source,2026-07-04T05:37:33.987090,5.0,5.0,5.0,1.0,
68,42,hitoshi,薫酒,中間,すっきりおだやか,洋梨のようなフレッシュなアロマが最高。日本酒特有のツンとするアルコール感がなく、すっきり綺麗に飲めるので女性にも超おすすめです。,,dummy_sns_source,2026-06-12T12:37:33.987107,4.0,4.0,3.5,1.0,
69,42,hitoshi,薫酒,淡麗辛口,すっきりおだやか,香りがとにかく華やかでフルーティ！一口飲むだけで甘酸っぱくてジューシーな旨味が口いっぱいに広がります。冷やしてワイングラスで飲むのがお気に入りです！,,dummy_sns_source,2026-07-16T17:37:33.987121,3.5,3.5,,1.0,
70,43,hitoshi,醇酒,中間,しっかり個性的,しっかりとした飲みごたえがあり、焼き鳥や煮物といった醤油系の濃い味のお料理と合わせると最高のマリアージュを楽しめます。,,dummy_sns_source,2026-06-10T12:37:33.987138,4.0,3.5,4.5,1.0,
71,43,hitoshi,醇酒,濃醇,華やかフルーティ,お米の豊かなコクとふくよかな旨味がしっかり主張してきます。常温や少し温めのぬる燗にすると旨味がさらに開いて美味しいです！,,dummy_sns_source,2026-06-04T23:37:33.987152,3.5,5.0,3.0,1.0,
72,44,hitoshi,醇酒,濃醇,華やかフルーティ,しっかりとした飲みごたえがあり、焼き鳥や煮物といった醤油系の濃い味のお料理と合わせると最高のマリアージュを楽しめます。,,dummy_sns_source,2026-06-26T08:37:33.987170,4.0,4.5,4.0,1.0,
73,45,hitoshi,爽酒,淡麗辛口,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-07-11T18:37:33.987186,3.5,,4.5,1.0,
74,45,hitoshi,爽酒,淡麗辛口,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-17T14:37:33.987200,4.5,4.5,,1.0,
75,46,hitoshi,醇酒,中間,すっきりおだやか,お米の豊かなコクとふくよかな旨味がしっかり主張してきます。常温や少し温めのぬる燗にすると旨味がさらに開いて美味しいです！,,dummy_sns_source,2026-06-28T01:37:33.987216,3.5,3.0,5.0,1.0,
76,18662,hitoshi,爽酒,淡麗辛口,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-06T01:37:33.987233,5.0,,4.5,1.0,
77,1462,hitoshi,爽酒,中間,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-06-17T20:37:33.987251,3.5,5.0,4.0,1.0,
78,1462,hitoshi,爽酒,濃醇,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-07-15T05:37:33.987265,3.5,4.5,4.0,1.0,
79,215,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-06-06T16:37:33.987282,4.0,3.0,4.5,1.0,
80,215,hitoshi,爽酒,淡麗辛口,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-06-24T20:37:33.987297,4.0,3.0,4.0,1.0,
81,50,hitoshi,爽酒,濃醇,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-07-14T17:37:33.987313,3.5,3.5,3.0,1.0,
82,3062,hitoshi,爽酒,淡麗辛口,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-18T21:37:33.987329,4.0,,4.5,1.0,
83,5219,hitoshi,爽酒,濃醇,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-06-23T15:37:33.987346,4.5,4.0,,1.0,
84,1825,hitoshi,爽酒,濃醇,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-07-05T14:37:33.987363,4.5,5.0,5.0,1.0,
85,1825,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-07-13T06:37:33.987377,3.5,,5.0,1.0,
86,3553,hitoshi,爽酒,淡麗辛口,華やかフルーティ,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-16T04:37:33.987394,4.0,3.0,3.5,1.0,
87,3553,hitoshi,爽酒,淡麗辛口,すっきりおだやか,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-07-15T13:37:33.987407,4.0,,4.0,1.0,
88,3873,hitoshi,爽酒,濃醇,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-07T11:37:33.987455,5.0,,4.0,1.0,
89,3873,hitoshi,爽酒,中間,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-07-17T10:37:33.987473,4.5,4.5,5.0,1.0,
90,2754,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-06-16T11:37:33.987493,4.0,4.0,3.5,1.0,
91,794,hitoshi,爽酒,淡麗辛口,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-07-10T11:37:33.987514,4.0,3.5,5.0,1.0,
92,4493,hitoshi,爽酒,中間,すっきりおだやか,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-07-06T14:37:33.987534,5.0,4.0,,1.0,
93,4493,hitoshi,爽酒,中間,華やかフルーティ,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-06-20T23:37:33.987553,3.5,4.5,3.5,1.0,
94,6271,hitoshi,爽酒,中間,しっかり個性的,キリッと冷やして飲むと抜群のキレ味！雑味が一切なくてクリアな喉越しなので、お刺身やカルパッチョなど魚料理との相性が完璧です。,,dummy_sns_source,2026-06-25T00:37:33.987573,4.5,4.0,4.0,1.0,
95,60,hitoshi,爽酒,中間,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-29T00:37:33.987594,3.5,5.0,3.5,1.0,
96,3276,hitoshi,爽酒,淡麗辛口,しっかり個性的,非常にスッキリした飲み口で、何杯でもいけちゃいます。食中酒としてこれ以上のものはないですね。毎日のお晩酌に常備したいです。,,dummy_sns_source,2026-06-28T08:37:33.987615,4.0,3.5,4.0,1.0,
