id,competition_id,year,edition_label,held_start,held_end,announced_date,venue,country,entries_total,countries_count,judges_count,judges_note,trophy_count,platinum_count,gold_count,website,status,confidence,source_id,evidence
20032,10037,2023,SAKE COMPETITION 2023,,,,東京,日本,,,,,,,,,active,1.0,,Official Competition Archive
20033,10037,2019,SAKE COMPETITION 2019,,,,東京,日本,,,,,,,,,active,1.0,,Official Competition Archive
20034,10037,2018,SAKE COMPETITION 2018,,,,東京,日本,,,,,,,,,active,1.0,,Official Competition Archive
20044,10044,2024,SAKE COMPETITION 2024,,,,グランドプリンスホテル新高輪,日本,,,,,,,,https://sakecompetition.com/,active,1.0,,Official Competition Announcement
20045,10045,2024,第18回 フェミナリーズ世界ワインコンクール 2024,,,,ボーヌ,フランス,,,,,,,,https://feminalise-japon.com/,active,1.0,,Official Competition Announcement
20046,10046,2024,Oriental Sake Awards 2024,,,,香港コンベンション＆エキシビションセンター,香港,,,,,,,,https://www.orientalsakeawards.com/,active,1.0,,Official Competition Announcement
20047,10047,2024,London Sake Challenge 2024,,,,ロンドン・ミレニアムグロブナーホテル,イギリス,,,,,,,,https://londonsakechallenge.com/,active,1.0,,Official Competition Announcement
20048,10048,2024,令和6年 東北清酒鑑評会,,,,仙台国税局鑑定官室,日本,,,,,,,,https://www.nta.go.jp/about/organization/sendai/release/,active,1.0,,National Tax Agency Official Announcement
20049,10049,2024,第95回 関東信越国税局酒類鑑評会,,,,さいたま新都心合同庁舎,日本,,,,,,,,https://www.nta.go.jp/about/organization/kantoshinetsu/release/,active,1.0,,National Tax Agency Official Announcement
20050,10050,2024,令和6年 名古屋国税局酒類鑑評会,,,,名古屋国税総合庁舎,日本,,,,,,,,https://www.nta.go.jp/about/organization/nagoya/release/,active,1.0,,National Tax Agency Official Announcement
20051,10051,2024,令和6年 大阪国税局清酒鑑評会,,,,大阪合同庁舎,日本,,,,,,,,https://www.nta.go.jp/about/organization/osaka/release/,active,1.0,,National Tax Agency Official Announcement
20052,10052,2024,令和6年 広島国税局清酒鑑評会,,,,広島国税総合庁舎,日本,,,,,,,,https://www.nta.go.jp/about/organization/hiroshima/release/,active,1.0,,National Tax Agency Official Announcement
20053,10053,2024,令和6年 熊本国税局酒類鑑評会,,,,熊本地方合同庁舎,日本,,,,,,,,https://www.nta.go.jp/about/organization/kumamoto/release/,active,1.0,,National Tax Agency Official Announcement
20054,10054,2024,CRAFT SAKE WEEK 2024 at ROPPONGI HILLS,,,,六本木ヒルズアリーナ,日本,,,,,,,,https://craftsakeweek.com/,active,1.0,,Official Festival Announcement
20055,10055,2024,にいがた酒の陣 2024,,,,新潟コンベンションセンター 朱鷺メッセ,日本,,,,,,,,https://www.sakenojin.jp/,active,1.0,,Official Festival Announcement
20056,10056,2024,2024 酒まつり 西条,,,,広島県東広島市 西条酒蔵通り・酒ひろば,日本,,,,,,,,https://sakematsuri.com/,active,1.0,,Official Festival Announcement
20057,10057,2024,SAKE PARK 4 (2024 Autumn),,,,渋谷 MIYASHITA PARK 芝生ひろば,日本,,,,,,,,https://sakepark.jp/,active,1.0,,Official Festival Announcement
